cole_area_ubicacion_urbano;cole_bilingue_si;cole_calendario;cole_caracter;cole_cod_depto_ubicacion;cole_genero;cole_jornada;estu_cod_depto_presentacion;estu_edad;estu_genero_m;estu_privado_libertad_si;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil_si;fami_tienecomputador_si;fami_tieneinternet_si;fami_tienelavadora_si;target
1;1;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.72;1;0;dos;postgrado;postgrado;estrato 6;1 a 2;1;1;1;1;1
1;1;0.8645766230047957;0.07136210722210293;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;21.3;1;0;tres;educación profesional completa;educación profesional completa;estrato 6;3 a 4;1;1;1;1;1
1;0;0.10700737241428673;0.8067425381146661;0.888888888888889;0.8930642044234486;0.2903156538544127;0.888888888888889;20.04;1;0;dos;primaria incompleta;primaria incompleta;estrato 2;3 a 4;0;0;0;0;0
1;0;0.028416004580917614;0.8067425381146661;0.22222222222222224;0.8930642044234486;0.02311931858850476;0.22222222222222224;20.62;1;0;dos;técnica o tecnológica completa;técnica o tecnológica completa;estrato 4;1 a 2;1;1;1;1;0
1;0;0.10700737241428673;0.8067425381146661;0.06666666666666668;0.8930642044234486;0.2903156538544127;0.06666666666666668;20.82;1;0;seis o mas;educación profesional completa;secundaria (bachillerato) completa;estrato 2;7 a 8;1;1;1;1;0
1;0;0.8645766230047957;0.07136210722210293;0.7888888888888889;0.07164841457304416;0.5832080738672966;0.7888888888888889;19.6;0;0;tres;técnica o tecnológica completa;educación profesional completa;estrato 4;3 a 4;1;1;1;1;1
1;0;0.8645766230047957;0.8067425381146661;0.06666666666666668;0.07164841457304416;0.5832080738672966;0.06666666666666668;20.21;0;0;tres;educación profesional completa;educación profesional completa;estrato 6;3 a 4;1;1;1;1;1
1;1;0.8645766230047957;0.07136210722210293;0.06666666666666668;0.8930642044234486;0.5832080738672966;0.06666666666666668;20.24;1;0;dos;educación profesional completa;técnica o tecnológica incompleta;estrato 5;3 a 4;0;1;1;1;1
1;0;0.8645766230047957;0.006799799584854341;0.7888888888888889;0.8930642044234486;0.2903156538544127;0.7888888888888889;20.68;1;0;dos;educación profesional completa;no sabe;estrato 3;3 a 4;1;1;1;1;0
1;0;0.8645766230047957;0.8067425381146661;0.7888888888888889;0.8930642044234486;0.5832080738672966;0.7888888888888889;19.29;0;0;tres;educación profesional completa;educación profesional completa;estrato 5;3 a 4;1;1;1;1;0
